item,reference_value,local_value,status,local_source,approval_evidence,required_followup
"نص المخطوطة: ### 2.1 Early popularity, event histories and finite horizons",القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 2.1 Early popularity, event histories and finite horizons",مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 2.2 Learned cascade representations and evaluation protocols,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 2.2 Learned cascade representations and evaluation protocols,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 2.3 Distributional learning and count assessment,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 2.3 Distributional learning and count assessment,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
"نص المخطوطة: ## 3. Data, forecast target and information sets",القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::## 3. Data, forecast target and information sets",مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 3.1 Recorded activity at a fixed endpoint,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 3.1 Recorded activity at a fixed endpoint,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 3.2 Source-specific cohorts,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 3.2 Source-specific cohorts,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 3.3 Information contrast,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 3.3 Information contrast,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ## 4. Forecasting procedures and model selection,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::## 4. Forecasting procedures and model selection,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 4.1 Count distributions,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 4.1 Count distributions,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 4.2 Shared-setting selection and retained models,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 4.2 Shared-setting selection and retained models,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ## 5. Evaluation and statistical analysis,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::## 5. Evaluation and statistical analysis,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 5.1 Scores and calibration,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 5.1 Scores and calibration,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ## 6. Results,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::## 6. Results,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 6.2 Conditional empirical forecasts are strong references,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 6.2 Conditional empirical forecasts are strong references,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 6.3 Distribution-score gains coexist with calibration limitations,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 6.3 Distribution-score gains coexist with calibration limitations,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 6.4 Duplicate sensitivity and completeness,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 6.4 Duplicate sensitivity and completeness,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
نص المخطوطة: ### 6.5 Prefix-size strata show heterogeneous timing effects,القسم المرجعي,مطابق نصيًا للقسم المرجعي بعد تجاهل الفراغ الطرفي,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md::### 6.5 Prefix-size strata show heterogeneous timing effects,مقارنة النصين مباشرة؛ ليست شهادة صحة خارجية,لا إجراء علمي جديد
حالة المخطوطة/الملخص/المقدمة,Reviewed؛ الضجيج مكتمل ومدمج,DRAFT؛ الضجيج NOT executed/pending,تعارض غير محسوم,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#opening, Abstract, 1",BRACE-Phase14-20260913/run/MAC_REVIEW.md وPHASE14_REPORT.json يحسمان اكتمال التنفيذ لا وجود النسخة المحررة,استعادة النسخة reviewed المعتمدة أو دمج موثق لاحقًا دون تعديل الأصول
المنهج التكميلي §5.3,طريقة مكتملة بحدود 0.05/24 وثلاث تحقيقات,البروتوكول نفسه لكن بصيغة pending؛ التنفيذ يؤيد المرجع,لاحقة موثقة,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#5.3; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/PROTOCOL_PHASE14.md#Stage B; BRACE-Phase14-20260913/run/stage_b/BOOTSTRAP_DESIGN.json,بروتوكول مجمد + تقرير مكتمل,نقل حالة التنفيذ إلى النسخة التحريرية القادمة
§5.2 إشارة 2%,لا cutoff عملي؛ إحالة للتاريخ بالملحق,إشارة تاريخية وصفية 2% أوضح بالنص,متسق,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#5.2; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_TECHNICAL_SUPPLEMENT_EN.md#S8,فرق صياغة دون تبديل estimator أو CI,الحفاظ على التاريخ دون عتبة أهمية عملية
§6.1 Weibo NGBoost I0 60min,89.374,89.373 بالمسودة؛ JSON=89.37354681008047,لاحقة موثقة,"BRACE-Phase13F-20260913/run/analysis/PROCEDURE_METRICS.json[source=weibo,family=ngboost,info=I0].window_metrics.3600.crps",الرقم المحفوظ يدعم تقريب المرجع؛ لا تغيير علمي,اعتماد 89.374 في العرض القادم مع إبقاء الأصل
جدول 1 السوابق / جدول 2 عينة الاختبار,جداول المرجع,متطابقان نصيًا؛ لم تُعد قراءة البيانات الخام,متسق,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#2.3,3.2",مقارنة مباشرة للجدولين,لا إجراء علمي جديد
جدول 3 الأساسي / جدول 4 الإجراءات / جدول 5 المعايرة,جداول المرجع,متطابقة نصيًا؛ تدعمها ملخصات 13F المحفوظة,متسق,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#6.1,6.2,6.3; BRACE-Phase13F-20260913/run/analysis/PRIMARY_COMPARISONS.json",مقارنة النص والجداول التجميعية؛ لا إعادة تجميع صفوف,لا إجراء علمي جديد
جدول 6 / المراجعة العربية: weibo/hurdle/noise_minus_I0,"-0.002 [-0.036, +0.030]","delta=-0.0019982188233082353; CI=[-0.0356965623550445,0.029941873475039717]; noise CRPS=124.124231434318",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: weibo/hurdle/I1_minus_noise,"-2.838 [-5.212, -1.050]","delta=-2.8377516711290367; CI=[-5.212432863447748,-1.0498715249916077]; noise CRPS=124.124231434318",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: weibo/qrf/noise_minus_I0,"+0.953 [-1.255, +4.803]","delta=0.953466192940256; CI=[-1.2554199273506481,4.802809612879493]; noise CRPS=101.94380228419817",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: weibo/qrf/I1_minus_noise,"-5.304 [-10.532, -1.905]","delta=-5.303649973049444; CI=[-10.531859399741032,-1.9051354493040964]; noise CRPS=101.94380228419817",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: weibo/ngboost/noise_minus_I0,"+0.033 [-0.036, +0.080]","delta=0.03327148761792298; CI=[-0.03642937801051264,0.07968988647267353]; noise CRPS=111.28277024609558",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: weibo/ngboost/I1_minus_noise,"-0.799 [-1.457, -0.274]","delta=-0.798742440275519; CI=[-1.4572606174131049,-0.2744377493495015]; noise CRPS=111.28277024609558",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: seismic/hurdle/noise_minus_I0,"+0.027 [-0.002, +0.056]","delta=0.026735369035273317; CI=[-0.0024061180212551704,0.055984530323308405]; noise CRPS=52.06266508636641",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: seismic/hurdle/I1_minus_noise,"-7.041 [-10.573, -4.833]","delta=-7.0406154220236346; CI=[-10.57300573449832,-4.832722819490595]; noise CRPS=52.06266508636641",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: seismic/qrf/noise_minus_I0,"-0.216 [-0.515, +0.212]","delta=-0.2155758627872857; CI=[-0.5152684613460619,0.21237643039148682]; noise CRPS=42.659821985129724",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: seismic/qrf/I1_minus_noise,"-3.602 [-4.594, -2.648]","delta=-3.601548327372399; CI=[-4.5939463612014535,-2.64789612234088]; noise CRPS=42.659821985129724",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: seismic/ngboost/noise_minus_I0,"+0.174 [-0.160, +0.793]","delta=0.17424166876115382; CI=[-0.15985993244613664,0.7930267348314367]; noise CRPS=42.69673160573481",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
جدول 6 / المراجعة العربية: seismic/ngboost/I1_minus_noise,"-3.257 [-4.145, -2.392]","delta=-3.256794870189381; CI=[-4.14475323397572,-2.3924956673882543]; noise CRPS=42.69673160573481",متسق,"BRACE-Phase14-20260913/run/stage_b/NOISE_COMPARISONS.csv[source,family,contrast]",فحص المقارنات الاثنتي عشرة المحفوظة مقابل التقريب بثلاث منازل,الجدول غائب من مسودة المتن المحلية؛ يدمج في التحرير القادم
§6.6/§7/§8/§9 تفسير الضجيج,نتيجة predictive ضد noise؛ لا تكافؤ ولا pure capacity ولا سببية,فقرة النتائج غائبة؛ النقاش والخاتمة يشيران إلى تجربة منتظرة,تعارض غير محسوم,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#6–9; BRACE-Phase14-20260913/run/MAC_REVIEW.md#B,التنفيذ اللاحق موثق؛ سلسلة اعتماد النص المحرر غير متاحة,مواءمة المتن والملحق والسجل معًا
الملحق S8 وسجل الادعاءات والتغييرات,المراجعة العربية تقول إن الكل حُدّث بنتائج الضجيج وتحقيقاته ورسمه,الملحق والسجل والتغييرات المحليّة ما زالت pending؛ CSV وfigures_final مكتملة,تعارض غير محسوم,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_TECHNICAL_SUPPLEMENT_EN.md#S8; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/CLAIM_EVIDENCE_LEDGER.md#Phase14; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/EDITORIAL_CHANGELOG.md,لا نسخة مراجعة محلية تثبت تنفيذ التحرير المذكور في المرجع,استعادة حزمة التحرير؛ لا اعتبار ملفات المصدر المجمدة خطأ يجب تعديل أصله
المراجع,26 مرجعًا في متن المرجع بما فيها Hooker 2021,25 في متن المسودة؛ Hooker حاضر بالملحق وملاحظة تصحيح بياناته,تعارض غير محسوم,BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#References; BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_TECHNICAL_SUPPLEMENT_EN.md#Scope decision,لا دليل محلي على متن 26 أو 35 مرجعًا؛ الفرق الببليوغرافي ظاهر,إكمال bib من المراجع المعتمدة في مهمة النشر؛ لم يتم تحقق ويب
إفصاحات المؤلفين والتمويل والأخلاق,جميعها author completion required,مطابق؛ لا أسماء أو ترتيب أو تمويل أو موافقة مؤكدة في الوثائق النهائية,غير متحقق,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#Data, code and declarations",لا دليل اعتماد لهذه البيانات,تأكيد الأسماء والانتماءات والترتيب والمراسل وCRediT والتمويل والتعارض والأخلاق ومساعدة AI
الإتاحة العامة/أرشيفات البيانات,إضافة أرشيف 14 إلى 13E/F؛ لا مستودع عام مؤكد,مسودة الإتاحة تذكر 13E/F فقط؛ أرشيف 14 وreceipt موجودان,لاحقة موثقة,"BRACE-Phase14-20260913/BRACE_Phase14_Supplementary_Kit_20260913/editorial/BRACE_MANUSCRIPT_PHASE14_DRAFT_EN.md#Data, code and declarations; BRACE-Phase14-20260913/recovery/FINAL_RETURN_VERIFICATION.json",وجود أرشيف 14 في النطاق؛ لم يُنشر مستودع بهذه المهمة,تحديد الإيداع والتراخيص قبل الادعاء بالإتاحة
المراجعة العربية: اكتمال العمل الحقيقي,42 إجراءات/48 مكونات/630000 تنبؤ ودرجة؛0 فشل,تطابق PHASE14_REPORT وMAC_INDEPENDENT_AUDIT؛ 17 اختبارًا و3 ملاءمات اصطناعية مذكورة تاريخيًا,متسق,BRACE-Phase14-20260913/run/PHASE14_REPORT.json#noise_analysis.accounting; BRACE-Phase14-20260913/run/MAC_REVIEW.md,تطابق السجلات؛ لم نراقب التنفيذ الأصلي ولم نعده,لا إجراء علمي جديد
المراجعة العربية: إعادة التجميع المستقلة,521 payload hashes/CRC؛630000 صف؛max≈5.82e-11؛noise<6.67e-16,receipt يقرر521payloads؛ السجل المحلي يذكر فحص صفوف/حسابات؛ لم نجد تقرير المراجعة المستقلة اللاحقة بالقيمتين الأخيرتين,غير متحقق,BRACE-Phase14-20260913/run/MAC_INDEPENDENT_AUDIT.json; BRACE-Phase14-20260913/recovery/FINAL_RETURN_VERIFICATION.json,إفادة المرفق لا تُستخدم دليلاً محليًا مستقلاً,حفظ الفرق في نطاق التحقق؛ توفير حزمة reviewed إن أريد إثبات كامل المراجعة
عدد أعضاء RETURN,521 ملفات راجعتها المراجعة,522 ZIP entries =521 payloads +MANIFEST.json,متسق,BRACE-Phase14-20260913/recovery/BRACE_PHASE14_RETURN_20260913T192805Z.zip::MANIFEST.json,فهرسة ZIP الحالية وreceipt متسقان؛ فرق اصطلاح لا تناقض علمي,لا إجراء علمي جديد
هوية المرفق BRACE_MANUSCRIPT_PHASE14_REVIEWED_EN.md,SHA256=60e125891d043c3df0b2d3fa95c3896d601a437536d009f19f7a8a3d70eb27ce,لم يعثر على نظير بالاسم الأساسي أو لاحقته ضمن الملفات المفهرسة والأرشيفات المفحوصة,غير متحقق,discovery_inventory.json; archive_inventory.json,البصمة مقدمة بملف المهمة؛ ليست بصمة النص المعاد استخراجه,مقارنة النصين المضمنين تمت؛ مقارنة محتويات ZIP المراجعة غير مكتملة
هوية المرفق BRACE_PHASE14_REVIEW_AR.md,SHA256=331258dc0f6c59499013199e2002c60be5dbd51e40d264fa455356c280cbc736,لم يعثر على نظير بالاسم الأساسي أو لاحقته ضمن الملفات المفهرسة والأرشيفات المفحوصة,غير متحقق,discovery_inventory.json; archive_inventory.json,البصمة مقدمة بملف المهمة؛ ليست بصمة النص المعاد استخراجه,مقارنة النصين المضمنين تمت؛ مقارنة محتويات ZIP المراجعة غير مكتملة
هوية المرفق BRACE_Phase14_Reviewed_Manuscript_Package_20260913.zip,SHA256=861a27ea9fb8b3f07446936364d031d3e867f8658810d65a517d0bb5b67fc21e,لم يعثر على نظير بالاسم الأساسي أو لاحقته ضمن الملفات المفهرسة والأرشيفات المفحوصة,غير متحقق,discovery_inventory.json; archive_inventory.json,البصمة مقدمة بملف المهمة؛ ليست بصمة النص المعاد استخراجه,مقارنة النصين المضمنين تمت؛ مقارنة محتويات ZIP المراجعة غير مكتملة
